"id","name","neighbourhood_group_cleansed","neighbourhood_cleansed","property_type","room_type","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","bedrooms","beds","price"
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)","Brooklyn","Bedford-Stuyvesant","Entire guest suite","Entire home/apt",409,4.45,4.58,4.49,4.78,4.8,4.71,4.64,1,3,75
5121,"BlissArtsSpace!","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",50,4.52,4.22,4.09,4.91,4.91,4.47,4.52,1,1,60
5136,"Spacious Brooklyn Duplex, Patio + Garden","Brooklyn","Sunset Park","Entire rental unit","Entire home/apt",2,5,5,5,5,5,4.5,5,2,2,275
5178,"Large Furnished Room Near B'way　","Manhattan","Midtown","Private room in rental unit","Private room",507,4.21,4.21,3.73,4.66,4.42,4.87,4.36,1,1,68
5203,"Cozy Clean Guest Room - Family Apt","Manhattan","Upper West Side","Private room in rental unit","Private room",118,4.91,4.83,4.82,4.97,4.95,4.94,4.92,1,1,75
6990,"UES Beautiful Blue Room","Manhattan","East Harlem","Private room in rental unit","Private room",234,4.88,4.81,4.96,4.96,4.95,4.84,4.84,1,1,62
7064,"Amazing location! Wburg. Large, bright & tranquil","Brooklyn","Williamsburg","Private room in loft","Private room",9,4.86,5,4.86,5,5,5,5,1,1,90
7097,"Perfect for Your Parents:  Privacy + Garden","Brooklyn","Fort Greene","Entire guest suite","Entire home/apt",280,4.87,4.89,4.9,4.96,4.91,4.93,4.78,1,2,199
8490,"Maison des Sirenes1,bohemian, luminous apartment","Brooklyn","Bedford-Stuyvesant","Entire loft","Entire home/apt",139,4.76,4.85,4.74,4.89,4.87,4.61,4.75,1,4,140
9657,"Modern 1 BR / NYC / East Village","Manhattan","East Village","Entire rental unit","Entire home/apt",43,4.7,4.87,4.45,4.89,4.84,4.87,4.34,1,1,175
9704,"Spacious 1 bedroom in luxe building","Manhattan","Harlem","Private room in rental unit","Private room",98,4.89,4.91,4.73,4.91,4.84,4.84,4.9,1,1,55
10452,"Large B&B Style rooms","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",77,4.66,4.48,4.6,4.72,4.85,4.34,4.63,1,2,82
12192,"ENJOY Downtown NYC!","Manhattan","East Village","Private room in rental unit","Private room",267,4.39,4.57,4.03,4.8,4.85,4.7,4.55,1,1,40
12343,"BEST BET IN HARLEM","Manhattan","Harlem","Entire rental unit","Entire home/apt",107,4.81,4.82,4.69,4.97,4.9,4.51,4.7,1,1,250
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block","Queens","Long Island City","Private room in townhouse","Private room",310,4.9,4.91,4.9,4.9,4.9,4.88,4.84,1,2,145
12940,"Charming Brownstone 3 - Near PRATT","Brooklyn","Bedford-Stuyvesant","Entire rental unit","Entire home/apt",72,4.49,4.59,4.39,4.7,4.52,4.02,4.35,1,1,99
13121,"(E) RIGHT ON BUDGET","Queens","Jamaica","Private room in residential home","Private room",70,4.14,4.33,4.68,4.38,4.26,3.59,4.2,1,2,75
13808,"Blue Room for 2 in Brownstone for $1350 monthly","Brooklyn","Bedford-Stuyvesant","Private room in townhouse","Private room",155,4.68,4.75,4.45,4.9,4.86,4.5,4.72,1,1,80
14314,"Greenpoint Place...Has It All!","Brooklyn","Greenpoint","Entire rental unit","Entire home/apt",179,4.82,4.88,4.91,4.91,4.93,4.8,4.78,1,2,99
14434,"Private Bliss Art Space 2","Brooklyn","Bedford-Stuyvesant","Private room in rental unit","Private room",59,4.55,4.37,3.91,4.85,4.77,4.15,4.45,1,1,70
15220,"Best Location in NYC! TIMES SQUARE!","Manhattan","Hell's Kitchen","Private room in rental unit","Private room",346,4.63,4.77,4.74,4.81,4.79,4.88,4.68,1,1,84
15341,"Bright 1bd Nolita Apt, Doorman, Elevator, Security","Manhattan","Nolita","Entire condominium (condo)","Entire home/apt",27,4.58,4.67,4.48,5,4.81,4.7,4.48,1,2,171
15385,"Very, very cozy place","Brooklyn","Williamsburg","Private room in rental unit","Private room",49,4.85,4.79,4.79,4.83,4.83,4.83,4.64,1,1,80
15711,"2 bedroom Upper East Side","Manhattan","Upper East Side","Entire rental unit","Entire home/apt",84,4.68,4.61,4.45,4.55,4.53,4.7,4.59,2,4,206
16326,"Comfortable 4-bedroom apt in family house.","Brooklyn","Prospect Heights","Entire condominium (condo)","Entire home/apt",154,4.93,4.95,4.93,4.98,4.98,4.85,4.89,4,4,140
16338,"Double Room w Private Deck Clinton Hill Best Area","Brooklyn","Clinton Hill","Private room in rental unit","Private room",29,4.6,4.64,4.32,4.81,4.77,4.69,4.58,1,2,55
